round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
355,0.8023,0.1045,446958480,0.004913,3,0,3,1,3,1.3138,1.2876,0,stab,1,0
356,0.7217,0.1802,446958480,0.004903,0,0,3,4,3,1.0889,1.2876,3,interp0,1,1
357,0.7644,0.1724,446958480,0.004893,1,3,5,0,1,1.1683,1.2876,2,topk,1,1
358,0.7756,0.2672,446958480,0.004884,0,2,4,0,4,1.0549,1.2876,2,topk,1,1
359,0.7165,0.2810,446958480,0.004874,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
360,0.7204,0.1663,446958480,0.004864,3,0,4,0,3,1.0889,1.2876,2,topk,1,1
361,0.7653,0.0984,446958480,0.004854,2,1,5,0,2,1.2206,1.2876,2,topk,1,1
362,0.7620,0.2295,446958480,0.004845,1,2,6,0,1,1.0889,1.2876,2,topk,1,1
363,0.7455,0.1747,446958480,0.004835,0,1,5,0,4,0.9433,1.2876,2,topk,1,1
364,0.6913,0.2517,446958480,0.004825,0,0,8,0,2,0.5004,1.2876,2,topk,1,1
365,0.7283,0.2113,446958480,0.004816,0,0,3,6,1,0.8979,1.2876,3,interp0,1,1
366,0.7888,0.1941,446958480,0.004806,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
367,0.7354,0.1627,446958480,0.004796,0,0,5,5,0,0.6931,1.2876,2,topk,1,1
368,0.7185,0.1950,446958480,0.004787,0,6,4,0,0,0.6730,1.2876,1,used,1,1
369,0.7157,0.1741,446958480,0.004777,0,5,5,0,0,0.6931,1.2876,1,used,1,1
370,0.5540,0.2078,446958480,0.004768,4,0,6,0,0,0.6730,1.2876,2,topk,1,1
371,0.6104,0.2510,446958480,0.004758,0,4,6,0,0,0.6730,1.2876,2,topk,1,1
372,0.7430,0.2077,446958480,0.004749,0,0,6,0,4,0.6730,1.2876,2,topk,1,1
373,0.5591,0.2939,446958480,0.004739,0,6,4,0,0,0.6730,1.2876,1,used,1,1
374,0.7168,0.2185,446958480,0.004730,1,8,1,0,0,0.6390,1.2876,1,used,1,1
375,0.7673,0.2151,446958480,0.004720,0,0,6,1,3,0.8979,1.2876,2,topk,1,1
376,0.7346,0.1559,446958480,0.004711,0,0,6,4,0,0.6730,1.2876,2,topk,1,1
377,0.7244,0.1644,446958480,0.004701,0,4,6,0,0,0.6730,1.2876,2,topk,1,1
378,0.7148,0.2051,446958480,0.004692,0,7,3,0,0,0.6109,1.2876,1,used,1,1
379,0.7832,0.1356,446958480,0.004682,0,0,2,0,8,0.5004,1.2876,4,interp1,1,1
380,0.6133,0.1810,446958480,0.004673,0,0,7,0,3,0.6109,1.2876,2,topk,1,1
381,0.6716,0.2544,446958480,0.004664,0,0,8,0,2,0.5004,1.2876,2,topk,1,1
382,0.6810,0.2247,446958480,0.004654,1,0,4,5,0,0.9433,1.2876,3,interp0,1,1
383,0.7355,0.2242,446958480,0.004645,2,4,2,2,0,1.3322,1.2876,1,used,1,0
384,0.7724,0.1889,446958480,0.004636,4,1,4,0,1,1.1935,1.2876,0,stab,1,1
385,0.7292,0.1424,446958480,0.004627,0,1,6,2,1,1.0889,1.2876,2,topk,1,1
386,0.7661,0.1571,446958480,0.004617,2,0,3,3,2,1.3662,1.2876,2,topk,1,0
387,0.7071,0.2019,446958480,0.004608,0,4,3,2,1,1.2799,1.2876,1,used,1,1
388,0.7953,0.1362,446958480,0.004599,1,2,1,1,5,1.3592,1.2876,4,interp1,1,0
389,0.8008,0.1468,446958480,0.004590,0,0,3,2,5,1.0297,1.2876,4,interp1,1,1
390,0.7859,0.0948,446958480,0.004580,0,0,6,3,1,0.8979,1.2876,2,topk,1,1
391,0.7723,0.2135,446958480,0.004571,3,0,4,0,3,1.0889,1.2876,2,topk,1,1
392,0.8075,0.1520,446958480,0.004562,0,0,2,4,4,1.0549,1.2876,3,interp0,1,1
393,0.7007,0.1394,446958480,0.004553,0,5,1,0,4,0.9433,1.2876,1,used,1,1
394,0.7725,0.0879,446958480,0.004544,4,2,3,1,0,1.2799,1.2876,0,stab,1,1
395,0.7274,0.1727,446958480,0.004535,1,2,5,2,0,1.2206,1.2876,2,topk,1,1
396,0.6489,0.1439,446958480,0.004526,0,2,3,3,2,1.3662,1.2876,2,topk,1,0
397,0.5111,0.3698,446958480,0.004517,0,1,5,4,0,0.9433,1.2876,2,topk,1,1
