round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
574,0.8066,0.1119,446958480,0.003169,0,0,0,2,1,1,0,0,4,2,1.4708,1.8421,8,seed0,1,1
575,0.7836,0.0834,446958480,0.003163,0,3,0,0,3,0,0,0,3,1,1.3138,1.8421,1,used,1,1
576,0.7896,0.0742,446958480,0.003156,0,0,0,2,2,0,2,0,2,2,1.6094,1.8421,3,interp0,1,1
577,0.8151,0.1908,446958480,0.003150,0,0,1,1,0,2,0,0,4,2,1.4708,1.8421,8,seed0,1,1
578,0.8223,0.0656,446958480,0.003144,0,0,0,4,0,4,0,0,0,2,1.0549,1.8421,3,interp0,1,1
579,0.8267,0.1408,446958480,0.003137,0,0,0,0,0,4,0,0,3,3,1.0889,1.8421,5,interp2,1,1
580,0.8181,0.1069,446958480,0.003131,0,0,0,1,2,2,2,0,0,3,1.5571,1.8421,9,seed1,1,1
581,0.8197,0.1613,446958480,0.003125,0,1,1,0,0,1,2,2,2,1,1.8867,1.8421,6,interp3,1,0
582,0.7950,0.0666,446958480,0.003119,0,1,0,3,1,1,2,0,0,2,1.6957,1.8421,3,interp0,1,1
583,0.7993,0.1108,446958480,0.003112,0,1,0,0,2,1,1,2,3,0,1.6957,1.8421,8,seed0,1,1
584,0.8184,0.1279,446958480,0.003106,0,0,3,0,0,0,5,1,1,0,1.1683,1.8421,6,interp3,1,1
585,0.8276,0.0673,446958480,0.003100,0,1,0,0,0,1,0,2,5,1,1.3592,1.8421,8,seed0,1,1
586,0.8326,0.0991,446958480,0.003094,1,0,1,3,0,1,1,0,1,2,1.8344,1.8421,3,interp0,1,1
587,0.8288,0.1152,446958480,0.003088,0,0,0,2,0,4,3,0,1,0,1.2799,1.8421,5,interp2,1,1
588,0.8183,0.1179,446958480,0.003081,0,0,0,1,6,1,1,1,0,0,1.2275,1.8421,4,interp1,1,1
589,0.8280,0.0586,446958480,0.003075,0,0,1,2,0,4,0,3,0,0,1.2799,1.8421,5,interp2,1,1
590,0.7498,0.1749,446958480,0.003069,0,0,0,0,7,0,0,0,3,0,0.6109,1.8421,4,interp1,1,1
591,0.6909,0.1560,446958480,0.003063,0,0,0,0,5,0,0,1,3,1,1.1683,1.8421,4,interp1,1,1
592,0.7694,0.1206,446958480,0.003057,0,0,3,1,0,1,1,2,2,0,1.6957,1.8421,2,topk,1,1
593,0.8368,0.1554,446958480,0.003051,0,0,0,0,0,5,2,0,3,0,1.0297,1.8421,5,interp2,1,1
594,0.8470,0.1089,446958480,0.003045,0,0,0,2,0,0,0,0,3,5,1.0297,1.8421,9,seed1,1,1
595,0.8240,0.1094,446958480,0.003039,0,0,0,0,2,0,6,0,1,1,1.0889,1.8421,6,interp3,1,1
596,0.8025,0.0602,446958480,0.003033,0,0,1,5,1,0,0,0,1,2,1.3592,1.8421,3,interp0,1,1
597,0.8490,0.0631,446958480,0.003026,0,0,2,0,0,0,1,1,2,4,1.4708,1.8421,9,seed1,1,1
598,0.8509,0.0726,446958480,0.003020,0,0,5,0,0,1,0,0,2,2,1.2206,1.8421,2,topk,1,1
599,0.8387,0.1263,446958480,0.003014,0,4,0,3,0,1,0,0,0,2,1.2799,1.8421,1,used,1,1
600,0.8512,0.0533,446958480,0.003008,0,0,0,1,3,5,0,0,1,0,1.1683,1.8421,5,interp2,1,1
601,0.8280,0.0836,446958480,0.003002,0,0,0,0,2,5,2,0,1,0,1.2206,1.8421,5,interp2,1,1
