round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
918,0.9101,0.0084,446958480,0.001592,0,0,0,1,2,2,2,0,2,1,1.7481,1.8421,4,interp1,1,1
919,0.9105,0.0129,446958480,0.001588,0,0,0,3,0,2,0,4,1,0,1.2799,1.8421,7,orth0,1,1
920,0.9082,0.0158,446958480,0.001585,0,0,0,1,0,3,2,1,0,3,1.5048,1.8421,5,interp2,1,1
921,0.9088,0.0172,446958480,0.001582,0,1,0,1,2,0,4,0,2,0,1.4708,1.8421,6,interp3,1,1
922,0.9095,0.0085,446958480,0.001579,0,0,2,0,1,5,0,1,1,0,1.3592,1.8421,5,interp2,1,1
923,0.9091,0.0056,446958480,0.001576,0,1,0,4,3,0,0,0,1,1,1.4185,1.8421,3,interp0,1,1
924,0.9097,0.0066,446958480,0.001573,0,0,0,0,1,3,1,2,1,2,1.6957,1.8421,5,interp2,1,1
925,0.9100,0.0062,446958480,0.001569,0,0,0,2,0,0,5,0,1,2,1.2206,1.8421,6,interp3,1,1
926,0.9109,0.0059,446958480,0.001566,0,0,1,1,2,0,2,2,2,0,1.7481,1.8421,4,interp1,1,1
927,0.9121,0.0052,446958480,0.001563,0,0,0,1,4,3,0,0,1,1,1.4185,1.8421,4,interp1,1,1
928,0.9112,0.0085,446958480,0.001560,0,4,0,1,1,2,1,0,1,0,1.6094,1.8421,1,used,1,1
929,0.9104,0.0060,446958480,0.001557,0,0,3,2,1,0,2,1,1,0,1.6957,1.8421,2,topk,1,1
930,0.9106,0.0056,446958480,0.001554,0,0,0,1,2,1,4,0,2,0,1.4708,1.8421,6,interp3,1,1
931,0.9119,0.0066,446958480,0.001551,0,0,1,1,2,0,4,0,1,1,1.6094,1.8421,6,interp3,1,1
932,0.9113,0.0194,446958480,0.001548,0,0,0,0,1,3,2,1,1,2,1.6957,1.8421,5,interp2,1,1
933,0.9125,0.0070,446958480,0.001545,0,1,0,0,0,2,6,0,1,0,1.0889,1.8421,6,interp3,1,1
934,0.9109,0.0065,446958480,0.001541,0,0,0,0,0,0,2,4,3,1,1.2799,1.8421,7,orth0,1,1
935,0.9125,0.0064,446958480,0.001538,0,0,0,3,0,0,4,0,3,0,1.0889,1.8421,6,interp3,1,1
936,0.9098,0.0184,446958480,0.001535,0,0,0,4,2,0,0,0,1,3,1.2799,1.8421,3,interp0,1,1
937,0.9069,0.0390,446958480,0.001532,0,0,0,0,0,0,0,5,4,1,0.9433,1.8421,7,orth0,1,1
938,0.9112,0.0164,446958480,0.001529,0,0,0,0,0,0,4,2,3,1,1.2799,1.8421,6,interp3,1,1
939,0.9115,0.0109,446958480,0.001526,0,0,0,0,1,0,1,2,3,3,1.5048,1.8421,8,seed0,1,1
940,0.9122,0.0173,446958480,0.001523,0,1,0,0,3,1,1,3,0,1,1.6434,1.8421,4,interp1,1,1
941,0.9104,0.0209,446958480,0.001520,0,0,1,0,0,2,0,0,1,6,1.0889,1.8421,9,seed1,1,1
942,0.9101,0.0247,446958480,0.001517,0,0,0,4,0,1,1,2,2,0,1.4708,1.8421,3,interp0,1,1
943,0.9116,0.0126,446958480,0.001514,0,2,0,4,0,1,0,0,2,1,1.4708,1.8421,3,interp0,1,1
944,0.9118,0.0085,446958480,0.001511,0,1,0,1,2,2,0,0,1,3,1.6957,1.8421,9,seed1,1,1
945,0.9135,0.0065,446958480,0.001508,0,0,0,1,2,2,0,2,1,2,1.7481,1.8421,4,interp1,1,1
946,0.9135,0.0084,446958480,0.001505,0,0,1,3,0,3,0,0,3,0,1.3138,1.8421,3,interp0,1,1
947,0.9124,0.0061,446958480,0.001502,0,0,0,0,4,3,3,0,0,0,1.0889,1.8421,4,interp1,1,1
948,0.9132,0.0075,446958480,0.001499,0,0,0,0,1,0,0,2,5,2,1.2206,1.8421,8,seed0,1,1
949,0.9127,0.0059,446958480,0.001496,0,0,0,1,0,3,0,2,1,3,1.5048,1.8421,5,interp2,1,1
950,0.9131,0.0070,446958480,0.001493,0,0,0,2,0,0,4,0,3,1,1.2799,1.8421,6,interp3,1,1
951,0.9134,0.0058,446958480,0.001490,0,0,0,2,1,1,0,0,0,6,1.0889,1.8421,9,seed1,1,1
952,0.9118,0.0075,446958480,0.001487,0,1,0,0,5,1,0,0,3,0,1.1683,1.8421,4,interp1,1,1
953,0.9119,0.0061,446958480,0.001484,0,0,0,4,4,0,0,0,0,2,1.0549,1.8421,3,interp0,1,1
954,0.9124,0.0060,446958480,0.001481,0,1,0,1,1,2,1,1,3,0,1.8344,1.8421,8,seed0,1,1
955,0.9129,0.0062,446958480,0.001478,0,0,2,0,2,0,2,0,3,1,1.5571,1.8421,8,seed0,1,1
956,0.9134,0.0256,446958480,0.001475,0,0,0,0,6,2,1,0,1,0,1.0889,1.8421,4,interp1,1,1
957,0.9095,0.0206,446958480,0.001472,0,0,2,2,0,5,0,0,0,1,1.2206,1.8421,5,interp2,1,1
958,0.9129,0.0119,446958480,0.001469,0,0,0,0,1,0,0,6,2,1,1.0889,1.8421,7,orth0,1,1
959,0.9133,0.0092,446958480,0.001466,0,0,0,1,3,1,0,0,3,2,1.5048,1.8421,4,interp1,1,1
960,0.9120,0.0088,446958480,0.001463,0,0,3,0,1,0,3,0,3,0,1.3138,1.8421,2,topk,1,1
